danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,id,mood,motivation,release_decade
0.535,0.322,-11.973,0.0268,0.724,0.537,0.373,100.094,0xiWL57UTktlNUber1k7kW,0.0,0.0,2020s
0.917,0.377,-5.132,0.161,0.474,0.00367,0.398,134.994,6f4LYJwICqxoAILj82kwB0,0.0,0.0,2020s
0.577,0.859,-5.387,0.101,0.177,0.0,0.877,173.954,5H71u2ItpVo99e5KbLEvX9,1.0,1.0,2020s
0.703,0.694,-4.808,0.0607,0.436,5.8e-06,0.298,95.0,7k3qWn8D43a5ISa3x8lJux,0.0,1.0,2020s
0.639,0.703,-6.33,0.0794,0.0889,1.78e-06,0.138,169.888,4gzsuuZypVbxs0Af1LSZyB,0.0,1.0,2020s
0.604,0.21,-12.793,0.0346,0.914,0.0353,0.166,83.001,3kc4EBrXw7K3ACbeODqFOD,0.0,0.0,2020s
0.604,0.281,-12.601,0.202,0.00786,0.708,0.0384,98.009,0R5IvvfNpYht3eeBQU4089,0.0,0.0,2020s
0.856,0.618,-4.892,0.286,0.0303,0.0,0.391,81.993,2XIc1pqjXV3Cr2BQUGNBck,0.0,1.0,2020s
0.753,0.68,-7.749,0.196,0.29,0.0021,0.351,149.993,17NW5LLmN6PXrUdknZ6iT1,0.0,1.0,2010s
0.77,0.622,-10.621,0.026,0.328,0.00603,0.792,115.952,3HOKxuTDmNVmIlCIpBiD8m,1.0,1.0,2020s
0.744,0.827,-3.757,0.305,0.473,6.49e-05,0.311,104.851,4tQofG51E0juZBBVr6pral,0.0,1.0,2020s
0.73,0.849,-5.281,0.0299,0.00234,2.6e-05,0.887,117.31,4tKGFmENO69tZR9ahgZu48,1.0,1.0,2000s
0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b,0.0,1.0,2020s
0.706,0.8,-6.333,0.0399,0.00584,0.0,0.629,100.011,3U5JVgI2x4rDyHGObzJfNf,1.0,1.0,2000s
0.671,0.845,-4.93,0.048,0.0207,0.0,0.775,110.056,1vYXt7VSjH9JIM5oRRo7vA,1.0,1.0,2020s
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,0.0,1.0,2020s
0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,1.0,1.0,2020s
0.671,0.876,-5.681,0.0352,0.12,0.188,0.964,129.998,23RoR84KodL5HWvUTneQ1w,1.0,1.0,2020s
0.788,0.859,-2.724,0.0856,0.281,0.0,0.822,141.02,50nfwKoDiSYg8zOCREWAm5,1.0,1.0,2020s
0.498,0.897,-4.907,0.045,0.00136,0.0,0.373,169.902,5w40ZYhbBMAlHYNDaVJIUu,0.0,1.0,2020s
0.743,0.837,-7.634,0.0633,0.00288,2.86e-05,0.378,126.023,4ZnkygoWLzcGbQYCm3lkae,0.0,1.0,2020s
0.602,0.91,-3.404,0.0308,0.00126,0.000174,0.228,127.944,3BKD1PwArikchz2Zrlp1qi,0.0,1.0,2020s
0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.928,114.988,32OlwWuMpZ6b0aN2RZOeMS,1.0,1.0,2010s
0.771,0.671,-5.617,0.0553,0.00929,0.0,0.714,85.026,6RRNNciQGZEXnqk8SQ9yv5,1.0,1.0,2010s
0.746,0.765,-4.41,0.0993,0.0112,0.0,0.737,114.044,5QDLhrAOJJdNAmCTJ8xMyW,1.0,1.0,2020s
0.697,0.683,-2.881,0.117,0.0372,0.0,0.603,96.133,2BgEsaKNfHUdlh97KmvFyo,1.0,1.0,2010s
0.647,0.822,-4.662,0.183,0.219,0.0,0.962,160.019,60nZcImufyMA1MKQY3dcCH,1.0,1.0,2010s
0.842,0.734,-5.065,0.0588,0.0427,0.0,0.952,137.958,22vgEDb5hykfaTwLuskFGD,1.0,1.0,2010s
0.898,0.732,-3.982,0.0427,0.621,1.29e-05,0.96,115.955,6maTPqynTmrkWIralgGaoP,1.0,1.0,2020s
0.697,0.875,-4.621,0.034,0.137,0.0,0.774,140.069,5r43qanLhUCdBj8HN3fa6B,1.0,1.0,2020s
0.61,0.83,-4.105,0.0571,0.033,0.0,0.728,182.162,2Rk4JlNc2TPmZe2af99d45,1.0,1.0,2010s
0.824,0.862,-3.424,0.126,0.0076,0.000132,0.801,122.98,4cG7HUWYHBV6R6tHn1gxrl,1.0,1.0,2020s
0.758,0.913,-2.926,0.113,0.00364,6.92e-05,0.658,128.04,0b18g3G5spr4ZCkz7Y6Q0Q,1.0,1.0,2020s
0.734,0.874,-3.158,0.0662,0.168,1.14e-05,0.905,122.953,6cx06DFPPHchuUAcTxznu9,1.0,1.0,2020s
0.912,0.774,-4.673,0.0455,0.121,0.0127,0.632,119.966,10xV5l9nhLvFpR8mqzs0bL,1.0,1.0,2020s
0.652,0.879,-6.405,0.0784,0.00284,0.0896,0.789,173.925,5VxmI3IdgAxWVvUnJoLuY2,1.0,1.0,2020s
0.787,0.833,-4.403,0.0478,0.018,0.00747,0.796,123.97,6Dy1jexKYriXAVG6evyUTJ,1.0,1.0,2020s
0.756,0.697,-6.377,0.0401,0.182,0.0,0.956,94.996,0QBzMgT7NIeoCYy3sJCof1,1.0,1.0,2020s
0.762,0.701,-3.541,0.0286,0.235,0.000158,0.742,110.968,748mdHapucXQri7IAO8yFK,1.0,1.0,2020s
0.57,0.756,-3.394,0.0257,0.0497,0.0,0.72,91.972,5FQ77Cl1ndljtwwImdtjMy,1.0,1.0,2020s
0.794,0.793,-4.521,0.0842,0.0125,0.0,0.677,123.941,6WrI0LAC5M1Rw2MnX2ZvEg,1.0,1.0,2010s
0.685,0.738,-4.413,0.0595,0.0695,0.0,0.8,112.972,4N5s8lPTsjI9EGP7K4SXzB,1.0,1.0,2020s
0.701,0.88,-4.56,0.0358,0.182,7.33e-06,0.623,124.039,4q05KbxYZ5JdkmrletgPjF,1.0,1.0,2020s
0.798,0.675,-5.041,0.0442,0.0912,0.0,0.842,101.956,3HVWdVOQ0ZA45FuZGSfvns,1.0,1.0,2010s
0.72,0.715,-4.652,0.04,0.258,0.0568,0.357,107.041,5LYMamLv12UPbemOaTPyeV,0.0,1.0,2020s
0.744,0.621,-7.931,0.242,0.216,0.00119,0.701,128.105,44MuEHdlociG8KjhPhOVw5,1.0,1.0,2020s
0.836,0.743,-6.305,0.0656,0.0995,0.0,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,1.0,1.0,2020s
0.612,0.862,-2.903,0.037,0.041,0.0,0.354,123.849,4laAKIq9ZxBCwf99rauPYb,0.0,1.0,2020s
0.717,0.671,-5.077,0.0337,0.0018,2.54e-06,0.699,110.054,6f5ExP43esnvdKPddwKXJH,1.0,1.0,2020s
0.659,0.615,-5.865,0.0644,0.27,0.0,0.193,119.843,4GSDkZt7GcmzBWmsMcpaVO,0.0,1.0,2010s
0.669,0.832,-5.721,0.0682,0.0106,0.0,0.7,113.035,1WkMMavIMc4JZ8cfMmxHkI,1.0,1.0,2010s
0.789,0.711,-4.248,0.041,0.0332,0.0,0.753,112.985,59qrUpoplZxbIZxk6X0Bm3,1.0,1.0,2020s
0.563,0.908,-4.25,0.0868,0.0696,0.0,0.171,125.972,14LdhxElpZS0rKVV4nxtdA,0.0,1.0,2020s
0.736,0.754,-5.457,0.0443,0.033,0.000599,0.648,128.046,3xY5aYJcdvZX9xQxNd02ku,1.0,1.0,2020s
0.745,0.694,-7.519,0.128,0.0962,0.0,0.74,95.924,4x2rgtSFOI4hRvEvDj02KP,1.0,1.0,2000s
0.731,0.626,-6.919,0.0805,0.125,0.0,0.862,82.488,1sx0XsWUusUoPstbvokZjP,1.0,1.0,2020s
0.748,0.841,-5.08,0.177,0.00445,1.33e-06,0.717,123.045,5pNFibJLq7dvoDVIIcQBkn,1.0,1.0,2020s
0.715,0.738,-4.42,0.0577,0.00199,0.0,0.36,160.07,1mFpMoeZfkIqtqW2AfQ8ba,0.0,1.0,2020s
0.647,0.765,-6.459,0.06,0.111,0.0,0.855,79.994,58UKC45GPNTflCN6nwCUeF,1.0,1.0,2020s
0.721,0.769,-4.111,0.105,0.0922,0.0,0.915,155.932,2rmwqU7yzTvzkiaRV53DpT,1.0,1.0,2020s
0.73,0.804,-4.84,0.0436,0.225,2.63e-06,0.904,139.997,0irVirJrUjHFk3ywECVsGT,1.0,1.0,2020s
0.814,0.628,-7.178,0.221,0.167,0.0,0.677,123.977,7mFj0LlWtEJaEigguaWqYh,1.0,1.0,2020s
0.672,0.855,-3.764,0.0397,0.021,0.0,0.646,123.056,24ySl2hOPGCDcxBxFIqWBu,1.0,1.0,2020s
